acc_x,acc_y,acc_z,pitch,roll,yaw,vel,vel_max,latitud,longitud,altura,altura_max,temperatura,estado,flag,timestamp_pc
7.362,-16.001,10.434,44.17,144.39,249.06,7.11,444.66,41.651691,-0.888526,488.86,1260.64,20.76,0,1,2026-07-01T10:14:25.340
-14.558,15.154,-14.756,85.9,58.99,331.82,120.2,325.33,41.643936,-0.896101,875.14,1227.19,28.33,3,1,2026-07-01T10:14:25.451
13.732,-15.032,-3.844,-14.44,18.45,8.82,269.49,362.39,41.652733,-0.892024,186.03,1255.93,26.36,2,0,2026-07-01T10:14:25.561
1.731,2.814,17.782,21.33,-24.87,323.27,234.13,319.1,41.657841,-0.875017,357.96,1461.75,42.55,4,0,2026-07-01T10:14:25.687
6.238,16.994,-10.227,-6.28,-27.24,156.79,78.72,303.39,41.640217,-0.894513,127.8,1253.88,15.38,1,0,2026-07-01T10:14:25.798
13.444,-14.108,1.561,79.2,155.0,166.73,132.4,344.35,41.656265,-0.871172,861.76,1495.41,30.03,0,1,2026-07-01T10:14:25.924
-5.335,16.372,16.573,-84.76,157.44,163.87,245.25,418.42,41.657207,-0.873759,295.3,1240.37,30.22,3,0,2026-07-01T10:14:26.051
-3.481,-14.246,18.896,45.84,-13.28,177.93,296.26,319.01,41.642368,-0.892026,654.16,1403.46,33.15,2,0,2026-07-01T10:14:26.161
16.605,3.861,-2.416,57.26,122.69,179.44,23.07,307.89,41.64426,-0.890655,170.5,1334.83,17.67,3,0,2026-07-01T10:14:26.273
-7.487,-15.633,1.102,-48.94,-97.68,24.49,222.01,399.12,41.640293,-0.872195,401.63,1474.99,23.82,4,0,2026-07-01T10:14:26.399
-3.832,-12.31,8.255,-54.7,-151.95,131.15,40.62,336.2,41.640171,-0.873887,842.59,1249.45,28.58,4,1,2026-07-01T10:14:26.510
-15.657,-2.902,-4.632,52.65,-167.54,60.82,132.93,363.05,41.653099,-0.897908,1080.02,1373.03,27.2,2,0,2026-07-01T10:14:26.621
8.686,12.37,15.432,-31.18,63.54,290.07,125.95,403.23,41.650009,-0.876194,507.77,1417.01,26.28,1,1,2026-07-01T10:14:26.732
3.872,2.604,-16.282,-41.47,118.87,138.46,43.12,402.75,41.643421,-0.879566,60.61,1496.15,23.4,0,0,2026-07-01T10:14:26.842
-15.557,-16.227,-17.926,-17.31,137.06,208.38,227.03,390.91,41.645981,-0.880862,962.6,1446.32,44.56,1,0,2026-07-01T10:14:26.953
6.043,12.687,-11.482,-9.75,-86.71,97.25,3.2,356.8,41.645973,-0.889974,1007.98,1202.52,24.9,1,1,2026-07-01T10:14:27.080
17.352,-17.887,8.023,63.65,165.81,139.3,204.95,303.1,41.657864,-0.876208,448.33,1430.06,34.91,2,0,2026-07-01T10:14:27.193
14.283,-17.521,-17.32,36.15,-161.74,278.99,202.82,423.84,41.653538,-0.8724,1132.75,1422.19,37.72,2,1,2026-07-01T10:14:27.306
-9.357,-13.728,9.704,84.41,-140.73,347.75,279.27,369.56,41.652615,-0.874687,656.94,1294.31,23.12,3,0,2026-07-01T10:14:27.435
-7.04,13.219,-18.614,-66.77,-89.15,170.64,143.04,427.53,41.651054,-0.899767,20.12,1290.71,24.58,3,0,2026-07-01T10:14:27.546
14.727,-5.941,-4.089,-86.97,142.29,250.84,223.15,382.18,41.641479,-0.883114,185.62,1306.01,27.41,4,1,2026-07-01T10:14:27.660
13.382,4.413,6.923,-25.58,127.47,206.45,206.93,334.3,41.65847,-0.881044,33.22,1352.65,34.55,4,0,2026-07-01T10:14:27.772
6.296,12.335,14.048,19.93,74.94,277.02,153.42,314.08,41.656162,-0.886325,978.06,1317.29,42.59,0,1,2026-07-01T10:14:27.884
7.96,-11.674,-11.498,0.66,9.82,14.06,219.9,342.75,41.646767,-0.88669,1073.66,1215.49,42.03,2,0,2026-07-01T10:14:27.996
-19.91,19.561,6.959,-71.95,17.83,301.38,110.86,428.82,41.650406,-0.885087,659.79,1244.94,35.73,4,0,2026-07-01T10:14:28.109
-17.075,7.001,19.268,-1.0,42.06,333.92,112.0,442.87,41.65432,-0.874511,630.54,1215.42,31.83,2,1,2026-07-01T10:14:28.221
-4.594,2.812,-18.516,-14.46,-77.57,34.8,282.09,337.73,41.646889,-0.874337,167.44,1309.51,29.67,0,1,2026-07-01T10:14:28.347
8.84,-16.028,4.408,-1.76,142.84,53.81,14.39,360.62,41.651173,-0.887775,983.49,1248.94,20.06,4,0,2026-07-01T10:14:28.458
-8.053,-10.191,0.564,-24.91,-45.85,323.86,104.27,340.09,41.655182,-0.880885,495.63,1229.03,29.51,2,1,2026-07-01T10:14:28.569
-6.098,14.289,5.392,-38.62,58.48,325.99,278.41,340.3,41.642967,-0.885738,1021.59,1370.02,22.23,3,0,2026-07-01T10:14:28.680
12.829,-18.411,7.61,-10.12,10.49,138.46,172.9,357.2,41.644081,-0.897754,132.13,1478.39,42.7,2,1,2026-07-01T10:14:28.792
-8.376,-14.283,8.032,-1.07,1.84,180.92,216.84,417.85,41.64753,-0.897182,322.88,1410.21,31.52,4,1,2026-07-01T10:14:28.904
-16.94,-17.415,3.285,65.35,-26.44,7.57,20.95,420.29,41.651661,-0.874133,728.71,1375.31,31.55,3,1,2026-07-01T10:14:29.016
-1.468,11.046,-17.855,0.91,-78.91,353.31,241.31,365.21,41.650944,-0.896087,456.49,1431.02,28.25,4,1,2026-07-01T10:14:29.127
-11.641,-4.556,-4.441,1.45,-140.28,279.38,183.07,364.31,41.650822,-0.892952,1051.78,1387.99,40.87,2,0,2026-07-01T10:14:29.240
-15.424,12.42,-14.664,66.26,-68.59,192.7,95.82,308.97,41.65176,-0.889392,285.55,1388.46,23.78,1,0,2026-07-01T10:14:29.353
-6.236,1.58,-12.845,-69.06,129.99,171.13,136.48,445.88,41.645088,-0.883969,405.2,1301.04,30.62,1,0,2026-07-01T10:14:29.480
-6.917,-16.837,-8.942,32.27,-123.02,252.87,142.72,396.87,41.658367,-0.875122,194.75,1346.45,38.79,0,1,2026-07-01T10:14:29.592
18.058,0.78,-6.125,-20.07,79.73,246.4,100.99,443.42,41.659248,-0.886575,810.57,1233.15,22.66,1,1,2026-07-01T10:14:29.704
14.337,-12.931,15.613,2.69,63.14,15.95,286.94,308.16,41.656921,-0.895814,152.46,1352.54,35.13,3,1,2026-07-01T10:14:29.816
-7.099,-7.272,12.446,78.43,52.68,3.95,76.73,315.2,41.659286,-0.890826,1145.32,1477.17,28.76,2,1,2026-07-01T10:14:29.929
-4.474,0.067,-17.19,-57.41,54.45,326.41,189.46,300.3,41.654423,-0.885263,849.59,1266.17,19.82,3,1,2026-07-01T10:14:30.058
-16.551,-18.531,-1.493,-59.5,163.5,103.75,205.16,374.94,41.652287,-0.874181,514.83,1304.07,20.85,4,1,2026-07-01T10:14:30.171
-17.681,-13.119,-14.274,27.32,-35.97,219.11,82.26,301.65,41.642864,-0.890137,335.3,1311.25,30.15,3,1,2026-07-01T10:14:30.298
9.366,13.916,-4.687,63.38,61.37,174.94,189.98,390.39,41.657631,-0.876321,355.0,1333.1,26.8,1,0,2026-07-01T10:14:30.411
-0.074,16.539,17.446,-70.0,-47.74,189.3,208.7,336.41,41.656216,-0.874029,899.42,1398.47,39.1,4,1,2026-07-01T10:14:30.523
-19.993,1.265,13.283,57.76,-41.18,51.31,82.23,316.17,41.649025,-0.894194,128.22,1216.95,17.05,2,1,2026-07-01T10:14:30.651
4.601,9.227,16.963,-33.0,158.59,49.04,153.45,384.28,41.658733,-0.894227,955.82,1405.29,44.93,4,0,2026-07-01T10:14:30.762
-14.351,12.63,1.895,51.42,154.67,195.53,235.98,359.58,41.65572,-0.870832,104.14,1446.77,19.3,4,0,2026-07-01T10:14:30.874
12.157,-9.904,10.009,45.92,81.4,240.84,36.12,389.61,41.653305,-0.883182,1095.89,1423.41,18.84,1,0,2026-07-01T10:14:30.985
-6.236,-10.609,-6.669,15.16,-34.79,171.3,179.25,350.61,41.641937,-0.874736,185.67,1215.03,18.13,1,0,2026-07-01T10:14:31.096
-4.757,0.094,-16.475,-10.78,-108.96,100.34,194.97,436.99,41.646446,-0.890725,441.09,1361.97,39.08,3,1,2026-07-01T10:14:31.207
11.727,19.631,5.265,-60.04,-113.1,116.06,235.32,350.33,41.649399,-0.887812,219.38,1338.15,28.08,2,1,2026-07-01T10:14:31.319
19.079,12.282,14.968,59.4,-177.5,30.74,41.24,367.98,41.645622,-0.884469,992.12,1235.05,33.75,3,1,2026-07-01T10:14:31.429
